id	sample	pdf	stem	hancomVersion	variant	sourceFormat	oracleRoot	family
samples/chart/원형/쪼개진원형.hwpx::pdf/chart/원형/쪼개진원형-hwpx-2020.pdf	samples/chart/원형/쪼개진원형.hwpx	pdf/chart/원형/쪼개진원형-hwpx-2020.pdf	쪼개진원형	2020	hwpx-2020	hwpx	pdf	dir:chart
samples/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목.hwp::pdf/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목-2022.pdf	samples/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목.hwp	pdf/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목-2022.pdf	가로막대형_하나만있을떄_단일시리즈제목	2022	2022	hwp	pdf	dir:chart
samples/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목.hwp::pdf/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목-hwp-2020.pdf	samples/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목.hwp	pdf/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목-hwp-2020.pdf	가로막대형_하나만있을떄_단일시리즈제목	2020	hwp-2020	hwp	pdf	dir:chart
samples/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목.hwpx::pdf/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목-2022.pdf	samples/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목.hwpx	pdf/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목-2022.pdf	가로막대형_하나만있을떄_단일시리즈제목	2022	2022	hwpx	pdf	dir:chart
samples/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목.hwpx::pdf/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목-hwpx-2020.pdf	samples/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목.hwpx	pdf/chart/특이케이스/가로막대형_하나만있을떄_단일시리즈제목-hwpx-2020.pdf	가로막대형_하나만있을떄_단일시리즈제목	2020	hwpx-2020	hwpx	pdf	dir:chart
samples/draw-group.hwp::pdf/draw-group-2022.pdf	samples/draw-group.hwp	pdf/draw-group-2022.pdf	draw-group	2022	2022	hwp	pdf	other
samples/draw-group.hwp::pdf/draw-group-hwp-2020.pdf	samples/draw-group.hwp	pdf/draw-group-hwp-2020.pdf	draw-group	2020	hwp-2020	hwp	pdf	other
samples/endnote-01.hwp::pdf/endnote-01-2022.pdf	samples/endnote-01.hwp	pdf/endnote-01-2022.pdf	endnote-01	2022	2022	hwp	pdf	other
samples/endnote-01.hwp::pdf/endnote-01-hwp-2020.pdf	samples/endnote-01.hwp	pdf/endnote-01-hwp-2020.pdf	endnote-01	2020	hwp-2020	hwp	pdf	other
samples/eq-01.hwp::pdf/eq-01-2022.pdf	samples/eq-01.hwp	pdf/eq-01-2022.pdf	eq-01	2022	2022	hwp	pdf	equation
samples/eq-01.hwp::pdf/eq-01-hwp-2020.pdf	samples/eq-01.hwp	pdf/eq-01-hwp-2020.pdf	eq-01	2020	hwp-2020	hwp	pdf	equation
samples/equation-lim.hwp::pdf/equation-lim-2022.pdf	samples/equation-lim.hwp	pdf/equation-lim-2022.pdf	equation-lim	2022	2022	hwp	pdf	equation
samples/equation-lim.hwp::pdf/equation-lim-hwp-2020.pdf	samples/equation-lim.hwp	pdf/equation-lim-hwp-2020.pdf	equation-lim	2020	hwp-2020	hwp	pdf	equation
samples/exam_eng.hwp::pdf/exam_eng-2022.pdf	samples/exam_eng.hwp	pdf/exam_eng-2022.pdf	exam_eng	2022	2022	hwp	pdf	exam
samples/exam_eng.hwp::pdf/exam_eng-hwp-2020.pdf	samples/exam_eng.hwp	pdf/exam_eng-hwp-2020.pdf	exam_eng	2020	hwp-2020	hwp	pdf	exam
samples/exam_kor.hwp::pdf/exam_kor-2022.pdf	samples/exam_kor.hwp	pdf/exam_kor-2022.pdf	exam_kor	2022	2022	hwp	pdf	exam
samples/exam_kor.hwp::pdf/exam_kor-hwp-2020.pdf	samples/exam_kor.hwp	pdf/exam_kor-hwp-2020.pdf	exam_kor	2020	hwp-2020	hwp	pdf	exam
samples/exam_math.hwp::pdf/exam_math-2022.pdf	samples/exam_math.hwp	pdf/exam_math-2022.pdf	exam_math	2022	2022	hwp	pdf	exam
samples/exam_math.hwp::pdf/exam_math-hwp-2020.pdf	samples/exam_math.hwp	pdf/exam_math-hwp-2020.pdf	exam_math	2020	hwp-2020	hwp	pdf	exam
samples/exam_math_8.hwp::pdf/exam_math_8-2022.pdf	samples/exam_math_8.hwp	pdf/exam_math_8-2022.pdf	exam_math_8	2022	2022	hwp	pdf	exam
samples/exam_math_8.hwp::pdf/exam_math_8-hwp-2020.pdf	samples/exam_math_8.hwp	pdf/exam_math_8-hwp-2020.pdf	exam_math_8	2020	hwp-2020	hwp	pdf	exam
samples/exam_math_no.hwp::pdf/exam_math_no-2022.pdf	samples/exam_math_no.hwp	pdf/exam_math_no-2022.pdf	exam_math_no	2022	2022	hwp	pdf	exam
samples/exam_math_no.hwp::pdf/exam_math_no-hwp-2020.pdf	samples/exam_math_no.hwp	pdf/exam_math_no-hwp-2020.pdf	exam_math_no	2020	hwp-2020	hwp	pdf	exam
samples/exam_science.hwp::pdf/exam_science-2022.pdf	samples/exam_science.hwp	pdf/exam_science-2022.pdf	exam_science	2022	2022	hwp	pdf	exam
samples/exam_science.hwp::pdf/exam_science-hwp-2020.pdf	samples/exam_science.hwp	pdf/exam_science-hwp-2020.pdf	exam_science	2020	hwp-2020	hwp	pdf	exam
samples/exam_social.hwp::pdf/exam_social-2022.pdf	samples/exam_social.hwp	pdf/exam_social-2022.pdf	exam_social	2022	2022	hwp	pdf	exam
samples/exam_social.hwp::pdf/exam_social-hwp-2020.pdf	samples/exam_social.hwp	pdf/exam_social-hwp-2020.pdf	exam_social	2020	hwp-2020	hwp	pdf	exam
samples/field-01-memo.hwp::pdf/field-01-memo-2022.pdf	samples/field-01-memo.hwp	pdf/field-01-memo-2022.pdf	field-01-memo	2022	2022	hwp	pdf	other
samples/field-01-memo.hwp::pdf/field-01-memo-hwp-2020.pdf	samples/field-01-memo.hwp	pdf/field-01-memo-hwp-2020.pdf	field-01-memo	2020	hwp-2020	hwp	pdf	other
samples/field-01.hwp::pdf/field-01-2022.pdf	samples/field-01.hwp	pdf/field-01-2022.pdf	field-01	2022	2022	hwp	pdf	other
samples/field-01.hwp::pdf/field-01-hwp-2020.pdf	samples/field-01.hwp	pdf/field-01-hwp-2020.pdf	field-01	2020	hwp-2020	hwp	pdf	other
samples/float-stack-defer.hwp::pdf/float-stack-defer-2022.pdf	samples/float-stack-defer.hwp	pdf/float-stack-defer-2022.pdf	float-stack-defer	2022	2022	hwp	pdf	other
samples/float-stack-defer.hwp::pdf/float-stack-defer-hwp-2020.pdf	samples/float-stack-defer.hwp	pdf/float-stack-defer-hwp-2020.pdf	float-stack-defer	2020	hwp-2020	hwp	pdf	other
samples/footnote-01.hwp::pdf/footnote-01-2022.pdf	samples/footnote-01.hwp	pdf/footnote-01-2022.pdf	footnote-01	2022	2022	hwp	pdf	footnote
samples/footnote-01.hwp::pdf/footnote-01-hwp-2020.pdf	samples/footnote-01.hwp	pdf/footnote-01-hwp-2020.pdf	footnote-01	2020	hwp-2020	hwp	pdf	footnote
samples/form-01.hwp::pdf/form-01-2022.pdf	samples/form-01.hwp	pdf/form-01-2022.pdf	form-01	2022	2022	hwp	pdf	form
samples/group-box.hwp::pdf/group-box-2022.pdf	samples/group-box.hwp	pdf/group-box-2022.pdf	group-box	2022	2022	hwp	pdf	other
samples/group-box.hwp::pdf/group-box-hwp-2020.pdf	samples/group-box.hwp	pdf/group-box-hwp-2020.pdf	group-box	2020	hwp-2020	hwp	pdf	other
samples/group-drawing-02.hwp::pdf/group-drawing-02-2022.pdf	samples/group-drawing-02.hwp	pdf/group-drawing-02-2022.pdf	group-drawing-02	2022	2022	hwp	pdf	other
samples/group-drawing-02.hwp::pdf/group-drawing-02-hwp-2020.pdf	samples/group-drawing-02.hwp	pdf/group-drawing-02-hwp-2020.pdf	group-drawing-02	2020	hwp-2020	hwp	pdf	other
samples/h-pen-01.hwp::pdf/h-pen-01-2022.pdf	samples/h-pen-01.hwp	pdf/h-pen-01-2022.pdf	h-pen-01	2022	2022	hwp	pdf	other
samples/h-pen-01.hwp::pdf/h-pen-01-hwp-2020.pdf	samples/h-pen-01.hwp	pdf/h-pen-01-hwp-2020.pdf	h-pen-01	2020	hwp-2020	hwp	pdf	other
samples/hwp-img-001.hwp::pdf/hwp-img-001-2022.pdf	samples/hwp-img-001.hwp	pdf/hwp-img-001-2022.pdf	hwp-img-001	2022	2022	hwp	pdf	other
samples/hwp-img-001.hwp::pdf/hwp-img-001-hwp-2020.pdf	samples/hwp-img-001.hwp	pdf/hwp-img-001-hwp-2020.pdf	hwp-img-001	2020	hwp-2020	hwp	pdf	other
samples/hwp-multi-001.hwp::pdf/hwp-multi-001-2022.pdf	samples/hwp-multi-001.hwp	pdf/hwp-multi-001-2022.pdf	hwp-multi-001	2022	2022	hwp	pdf	other
samples/hwp-multi-002.hwp::pdf/hwp-multi-002-2022.pdf	samples/hwp-multi-002.hwp	pdf/hwp-multi-002-2022.pdf	hwp-multi-002	2022	2022	hwp	pdf	other
samples/hwp-multi-002.hwp::pdf/hwp-multi-002-hwp-2020.pdf	samples/hwp-multi-002.hwp	pdf/hwp-multi-002-hwp-2020.pdf	hwp-multi-002	2020	hwp-2020	hwp	pdf	other
samples/hwp3-sample-hwp5.hwp::pdf/hwp3-sample-hwp5-2022.pdf	samples/hwp3-sample-hwp5.hwp	pdf/hwp3-sample-hwp5-2022.pdf	hwp3-sample-hwp5	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample-hwp5.hwp::pdf/hwp3-sample-hwp5-hwp-2020.pdf	samples/hwp3-sample-hwp5.hwp	pdf/hwp3-sample-hwp5-hwp-2020.pdf	hwp3-sample-hwp5	2020	hwp-2020	hwp	pdf	hwp3
samples/hwp3-sample-hwpx.hwpx::pdf/hwp3-sample-hwpx-2022.pdf	samples/hwp3-sample-hwpx.hwpx	pdf/hwp3-sample-hwpx-2022.pdf	hwp3-sample-hwpx	2022	2022	hwpx	pdf	hwp3
samples/hwp3-sample-hwpx.hwpx::pdf/hwp3-sample-hwpx-2020.pdf	samples/hwp3-sample-hwpx.hwpx	pdf/hwp3-sample-hwpx-2020.pdf	hwp3-sample-hwpx	2020	2020	hwpx	pdf	hwp3
samples/hwp3-sample-hwpx.hwpx::pdf/hwp3-sample-hwpx-hwpx-2020.pdf	samples/hwp3-sample-hwpx.hwpx	pdf/hwp3-sample-hwpx-hwpx-2020.pdf	hwp3-sample-hwpx	2020	hwpx-2020	hwpx	pdf	hwp3
samples/hwp3-sample.hwp::pdf/hwp3-sample-2022.pdf	samples/hwp3-sample.hwp	pdf/hwp3-sample-2022.pdf	hwp3-sample	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample.hwp::pdf/hwp3-sample-hwp-2020.pdf	samples/hwp3-sample.hwp	pdf/hwp3-sample-hwp-2020.pdf	hwp3-sample	2020	hwp-2020	hwp	pdf	hwp3
samples/hwp3-sample11-hwpx.hwpx::pdf/hwp3-sample11-hwpx-hwpx-2020.pdf	samples/hwp3-sample11-hwpx.hwpx	pdf/hwp3-sample11-hwpx-hwpx-2020.pdf	hwp3-sample11-hwpx	2020	hwpx-2020	hwpx	pdf	hwp3
samples/hwp3-sample11.hwp::pdf/hwp3-sample11-2020.pdf	samples/hwp3-sample11.hwp	pdf/hwp3-sample11-2020.pdf	hwp3-sample11	2020	2020	hwp	pdf	hwp3
samples/hwp3-sample11.hwp::pdf/hwp3-sample11-hwp-2020.pdf	samples/hwp3-sample11.hwp	pdf/hwp3-sample11-hwp-2020.pdf	hwp3-sample11	2020	hwp-2020	hwp	pdf	hwp3
samples/hwp3-sample13-hwp5.hwp::pdf/hwp3-sample13-hwp5-hwp-2024.pdf	samples/hwp3-sample13-hwp5.hwp	pdf/hwp3-sample13-hwp5-hwp-2024.pdf	hwp3-sample13-hwp5	2024	hwp-2024	hwp	pdf	hwp3
samples/hwp3-sample13-hwp5.hwp::pdf/hwp3-sample13-hwp5-2022.pdf	samples/hwp3-sample13-hwp5.hwp	pdf/hwp3-sample13-hwp5-2022.pdf	hwp3-sample13-hwp5	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample13-hwp5.hwpx::pdf/hwp3-sample13-hwp5-hwpx-2024.pdf	samples/hwp3-sample13-hwp5.hwpx	pdf/hwp3-sample13-hwp5-hwpx-2024.pdf	hwp3-sample13-hwp5	2024	hwpx-2024	hwpx	pdf	hwp3
samples/hwp3-sample13-hwp5.hwpx::pdf/hwp3-sample13-hwp5-2022.pdf	samples/hwp3-sample13-hwp5.hwpx	pdf/hwp3-sample13-hwp5-2022.pdf	hwp3-sample13-hwp5	2022	2022	hwpx	pdf	hwp3
samples/hwp3-sample14-hwp5.hwp::pdf/hwp3-sample14-hwp5-hwp-2024.pdf	samples/hwp3-sample14-hwp5.hwp	pdf/hwp3-sample14-hwp5-hwp-2024.pdf	hwp3-sample14-hwp5	2024	hwp-2024	hwp	pdf	hwp3
samples/hwp3-sample14-hwp5.hwp::pdf/hwp3-sample14-hwp5-2022.pdf	samples/hwp3-sample14-hwp5.hwp	pdf/hwp3-sample14-hwp5-2022.pdf	hwp3-sample14-hwp5	2022	2022	hwp	pdf	hwp3
samples/hwp3-sample14-hwp5.hwpx::pdf/hwp3-sample14-hwp5-hwpx-2024.pdf	samples/hwp3-sample14-hwp5.hwpx	pdf/hwp3-sample14-hwp5-hwpx-2024.pdf	hwp3-sample14-hwp5	2024	hwpx-2024	hwpx	pdf	hwp3
samples/hwp3-sample14-hwp5.hwpx::pdf/hwp3-sample14-hwp5-2022.pdf	samples/hwp3-sample14-hwp5.hwpx	pdf/hwp3-sample14-hwp5-2022.pdf	hwp3-sample14-hwp5	2022	2022	hwpx	pdf	hwp3
samples/hwp3-sample14.hwp::pdf/hwp3-sample14-hwp-2020.pdf	samples/hwp3-sample14.hwp	pdf/hwp3-sample14-hwp-2020.pdf	hwp3-sample14	2020	hwp-2020	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5-2010.hwp::pdf/hwp3-sample16-hwp5-2010-hwp-2024.pdf	samples/hwp3-sample16-hwp5-2010.hwp	pdf/hwp3-sample16-hwp5-2010-hwp-2024.pdf	hwp3-sample16-hwp5-2010	2024	hwp-2024	hwp	pdf	hwp3
samples/hwp3-sample16-hwp5-2010.hwp::pdf/hwp3-sample16-hwp5-2010-2020.pdf	samples/hwp3-sample16-hwp5-2010.hwp	pdf/hwp3-sample16-hwp5-2010-2020.pdf	hwp3-sample16-hwp5-2010	2020	2020	hwp	pdf	hwp3
